大谷　智久, (ロ), 右投げ, 32試合, 1勝, 3敗, 0セーブ, 14HP, 防御率3.45, 勝率0.250
斎藤　佑樹, (日), 右投げ, 11試合, 0勝, 1敗, 0セーブ, 0HP, 防御率4.56, 勝率0.000
香月　良仁, (ロ), 右投げ, 11試合, 0勝, 0敗, 0セーブ, 1HP, 防御率8.44, 勝率0.000
大嶺　祐太, (ロ), 右投げ, 14試合, 1勝, 3敗, 0セーブ, 1HP, 防御率6.49, 勝率0.250
石川　歩, (ロ), 右投げ, 23試合, 14勝, 5敗, 0セーブ, 0HP, 防御率2.16, 勝率0.737
和田　毅, (ソ), 左投げ, 24試合, 15勝, 5敗, 0セーブ, 0HP, 防御率3.04, 勝率0.750
山田　大樹, (ソ), 左投げ, 4試合, 1勝, 1敗, 0セーブ, 0HP, 防御率5.93, 勝率0.000
イ・デウン, (ロ), 右投げ, 3試合, 0勝, 0敗, 0セーブ, 1HP, 防御率7.20, 勝率0.000
阿部　和成, (ロ), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.67, 勝率0.000
寺原　隼人, (ソ), 右投げ, 14試合, 2勝, 1敗, 0セーブ, 4HP, 防御率4.05, 勝率0.667
飯田　優也, (ソ), 左投げ, 30試合, 1勝, 0敗, 0セーブ, 5HP, 防御率3.29, 勝率1.000
田中　豊樹, (日), 右投げ, 4試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
武田　勝, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率0.00, 勝率0.000
五十嵐　亮太, (ソ), 右投げ, 33試合, 0勝, 1敗, 0セーブ, 7HP, 防御率3.62, 勝率0.000
メンドーサ, (日), 右投げ, 23試合, 7勝, 8敗, 0セーブ, 1HP, 防御率3.88, 勝率0.467
白村　明弘, (日), 右投げ, 22試合, 3勝, 1敗, 0セーブ, 4HP, 防御率2.63, 勝率0.750
藤岡　好明, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率27.00, 勝率0.000
中村　勝, (日), 右投げ, 2試合, 0勝, 1敗, 0セーブ, 0HP, 防御率6.00, 勝率0.000
バース, (日), 右投げ, 37試合, 8勝, 8敗, 0セーブ, 8HP, 防御率3.65, 勝率0.000
攝津　正, (ソ), 右投げ, 7試合, 2勝, 2敗, 0セーブ, 0HP, 防御率5.59, 勝率0.000
高梨　裕稔, (日), 右投げ, 37試合, 10勝, 2敗, 0セーブ, 3HP, 防御率2.38, 勝率0.833
武田　翔太, (ソ), 右投げ, 27試合, 14勝, 8敗, 0セーブ, 0HP, 防御率2.95, 勝率0.636
千賀　滉大, (ソ), 右投げ, 25試合, 12勝, 3敗, 0セーブ, 0HP, 防御率2.61, 勝率0.800
武田　久, (日), 右投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率14.54, 勝率0.000
岡本　健, (ソ), 右投げ, 13試合, 0勝, 0敗, 0セーブ, 0HP, 防御率2.57, 勝率0.000
大隣　憲司, (ソ), 左投げ, 1試合, 1勝, 0敗, 0セーブ, 0HP, 防御率1.50, 勝率1.000
嘉弥真　新也, (ソ), 左投げ, 5試合, 0勝, 0敗, 0セーブ, 0HP, 防御率8.59, 勝率0.000
加治屋　蓮, (ソ), 右投げ, 2試合, 0勝, 0敗, 0セーブ, 0HP, 防御率4.50, 勝率0.000
金森　敬之, (ロ), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 0HP, 防御率36.00, 勝率0.000
岸　孝之, (西), 右投げ, 19試合, 9勝, 7敗, 0セーブ, 0HP, 防御率2.49, 勝率0.563
