福田　将儀, (楽), 右打ち, 36試合, 打率0.200, 74打席, 12安打, 2本塁打, 8打点, 11三振, 長打率0.333
後藤　光尊, (楽), 左打ち, 50試合, 打率0.250, 138打席, 33安打, 2本塁打, 10打点, 30三振, 長打率0.341
根元　俊一, (ロ), 左打ち, 48試合, 打率0.215, 121打席, 23安打, 2本塁打, 12打点, 30三振, 長打率0.327
銀次, (楽), 左打ち, 125試合, 打率0.274, 497打席, 116安打, 2本塁打, 43打点, 49三振, 長打率0.333
田中　賢介, (日), 左打ち, 143試合, 打率0.272, 626打席, 147安打, 2本塁打, 53打点, 56三振, 長打率0.312
松井　稼頭央, (楽), 両打ち, 56試合, 打率0.213, 179打席, 34安打, 2本塁打, 13打点, 42三振, 長打率0.300
本多　雄一, (ソ), 左打ち, 110試合, 打率0.280, 388打席, 93安打, 1本塁打, 27打点, 51三振, 長打率0.322
細川　亨, (ソ), 右打ち, 49試合, 打率0.226, 115打席, 21安打, 1本塁打, 6打点, 28三振, 長打率0.280
哲_, (楽), 右打ち, 11試合, 打率0.100, 21打席, 2安打, 1本塁打, 1打点, 6三振, 長打率0.250
枡田　慎太郎, (楽), 左打ち, 45試合, 打率0.278, 66打席, 15安打, 1本塁打, 6打点, 23三振, 長打率0.352
ゴームズ, (楽), 右打ち, 18試合, 打率0.169, 75打席, 11安打, 1本塁打, 7打点, 22三振, 長打率0.246
安達　了一, (オ), 右打ち, 118試合, 打率0.273, 488打席, 110安打, 1本塁打, 34打点, 53三振, 長打率0.323
駿太, (オ), 左打ち, 105試合, 打率0.192, 239打席, 41安打, 1本塁打, 9打点, 40三振, 長打率0.229
矢野　謙次, (日), 右打ち, 34試合, 打率0.207, 35打席, 6安打, 1本塁打, 8打点, 5三振, 長打率0.379
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
鬼_　裕司, (西), 左打ち, 79試合, 打率0.253, 216打席, 48安打, 1本塁打, 17打点, 53三振, 長打率0.332
渡邉　諒, (日), 右打ち, 1試合, 打率0.333, 3打席, 1安打, 1本塁打, 1打点, 0三振, 長打率1.333
縞田　拓弥, (オ), 右打ち, 31試合, 打率0.167, 46打席, 7安打, 1本塁打, 3打点, 8三振, 長打率0.262
足立　祐一, (楽), 右打ち, 73試合, 打率0.227, 208打席, 42安打, 1本塁打, 14打点, 36三振, 長打率0.270
竹原　直隆, (西), 右打ち, 22試合, 打率0.200, 31打席, 6安打, 1本塁打, 6打点, 4三振, 長打率0.333
市川　友也, (日), 右打ち, 71試合, 打率0.165, 156打席, 22安打, 1本塁打, 12打点, 28三振, 長打率0.203
淺間　大基, (日), 左打ち, 52試合, 打率0.191, 115打席, 21安打, 1本塁打, 9打点, 36三振, 長打率0.273
園部　聡, (オ), 右打ち, 16試合, 打率0.204, 57打席, 11安打, 1本塁打, 6打点, 24三振, 長打率0.315
谷口　雄也, (日), 左打ち, 83試合, 打率0.254, 211打席, 49安打, 1本塁打, 9打点, 48三振, 長打率0.306
炭谷　銀仁_, (西), 右打ち, 117試合, 打率0.218, 326打席, 64安打, 1本塁打, 22打点, 48三振, 長打率0.269
オコエ　瑠偉, (楽), 右打ち, 51試合, 打率0.185, 130打席, 22安打, 1本塁打, 6打点, 27三振, 長打率0.294
上本　達之, (西), 左打ち, 67試合, 打率0.307, 98打席, 27安打, 1本塁打, 12打点, 23三振, 長打率0.386
誠, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金刃　憲人, (楽), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
牧田　和久, (西), 右打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
加藤　正志, (楽), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
松本　直晃, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
増田　達至, (西), 右打ち, 53試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塩見　貴洋, (楽), 左打ち, 24試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
本田　圭佑, (西), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
戸村　健次, (楽), 右打ち, 11試合, 打率0.000, 4打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
バスケス, (西), 右打ち, 19試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
辛島　航, (楽), 左打ち, 13試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
野田　昇吾, (西), 左打ち, 22試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
釜田　佳直, (楽), 右打ち, 20試合, 打率0.200, 5打席, 1安打, 0本塁打, 1打点, 2三振, 長打率0.400
ポーリーノ, (西), 右打ち, 9試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 1三振, 長打率0.000
バンヘッケン, (西), 右打ち, 10試合, 打率0.333, 4打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.333
藤原　良平, (西), 右打ち, 10試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
水口　大地, (西), 左打ち, 20試合, 打率0.500, 6打席, 3安打, 0本塁打, 1打点, 1三振, 長打率0.500
阿部　俊人, (楽), 左打ち, 55試合, 打率0.185, 28打席, 5安打, 0本塁打, 2打点, 8三振, 長打率0.259
入野　貴大, (楽), 左打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川本　良平, (楽), 右打ち, 11試合, 打率0.158, 23打席, 3安打, 0本塁打, 2打点, 4三振, 長打率0.211
菊池　保則, (楽), 左打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
金　無英, (楽), 右打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
石橋　良太, (楽), 左打ち, 6試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
伊志嶺　忠, (楽), 左打ち, 27試合, 打率0.167, 22打席, 3安打, 0本塁打, 1打点, 4三振, 長打率0.167
安樂　智大, (楽), 左打ち, 15試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
渡辺　直人, (西), 右打ち, 70試合, 打率0.309, 207打席, 56安打, 0本塁打, 16打点, 20三振, 長打率0.348
相原　和友, (楽), 左打ち, 2試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
南川　忠亮, (西), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小野　郁, (楽), 右打ち, 11試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
川井　貴志, (楽), 左打ち, 5試合, 打率0.000, 2打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小関　翔太, (楽), 右打ち, 7試合, 打率0.000, 9打席, 0安打, 0本塁打, 0打点, 3三振, 長打率0.000
青山　浩二, (楽), 右打ち, 50試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
大塚　尚仁, (楽), 左打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
_木　伴, (オ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
武田　健吾, (オ), 右打ち, 10試合, 打率0.100, 20打席, 2安打, 0本塁打, 1打点, 3三振, 長打率0.200
鈴木　昂平, (オ), 右打ち, 45試合, 打率0.184, 43打席, 7安打, 0本塁打, 4打点, 8三振, 長打率0.184
鈴木　優, (オ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
堤　裕貴, (オ), 左打ち, 1試合, 打率0.000, 1打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
ディクソン, (オ), 右打ち, 27試合, 打率0.600, 6打席, 3安打, 0本塁打, 5打点, 1三振, 長打率0.800
田中　大輔, (オ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
塚原　頌平, (オ), 左打ち, 54試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
杉本　裕太郎, (オ), 右打ち, 1試合, 打率0.000, 3打席, 0安打, 0本塁打, 0打点, 2三振, 長打率0.000
近藤　大亮, (オ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
齋藤　綱記, (オ), 左打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
小松　聖, (オ), 右打ち, 4試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
近藤　一樹, (オ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　達也, (オ), 右打ち, 43試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
白仁田　寛和, (オ), 右打ち, 7試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
齋藤　俊雄, (オ), 右打ち, 1試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
佐藤　峻一, (オ), 右打ち, 5試合, 打率0.000, 0打席, 0安打, 0本塁打, 0打点, 0三振, 長打率0.000
